date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:13:46	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2014%20Sep%202021%2014:13:18%20GMT	https://www.cybelius.fr/?page_id=3831%26lang=en	C:/Users/riko/Downloads/cymutec/www.cybelius.fr/indexcd1a.html	(from https://www.cybelius.fr/?p=3831&lang=en)
22:13:46	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2014%20Sep%202021%2014:13:41%20GMT	https://www.cybelius.fr/?page_id=2756%26lang=en	C:/Users/riko/Downloads/cymutec/www.cybelius.fr/index3a2a.html	(from https://www.cybelius.fr/?p=2756&lang=en)
22:13:47	58455/58455	---M-Z	200	added ('OK')	text/html	date:Tue,%2014%20Sep%202021%2014:13:46%20GMT	https://www.cybelius.fr/?paged=3&lang=en&author=2	C:/Users/riko/Downloads/cymutec/www.cybelius.fr/index7415.html	(from https://www.cybelius.fr/?paged=2&lang=en&author=2)
22:13:49	21290/21290	---MC-	200	added ('OK')	application/json	date:Tue,%2014%20Sep%202021%2014:13:47%20GMT	https://www.cybelius.fr/index.php?rest_route=/wp/v2/posts/290	C:/Users/riko/Downloads/cymutec/www.cybelius.fr/index721c.json	(from https://www.cybelius.fr/?p=290&lang=en)
22:13:51	2752/2752	---MC-	200	added ('OK')	application/json	date:Tue,%2014%20Sep%202021%2014:13:50%20GMT	https://www.cybelius.fr/index.php?rest_route=%2Foembed%2F1.0%2Fembed&url=https%3A%2F%2Fwww.cybelius.fr%2F%3Fp%3D290%26lang%3Den	C:/Users/riko/Downloads/cymutec/www.cybelius.fr/index4cc1.json	(from https://www.cybelius.fr/?p=290&lang=en)
22:13:52	0/0	---M--	200	added ('OK')	text/html	date:Tue,%2014%20Sep%202021%2014:13:52%20GMT	https://www.cybelius.fr/index.php?rest_route=%2Foembed%2F1.0%2Fembed&url=https%3A%2F%2Fwww.cybelius.fr%2F%3Fp%3D290%26lang%3Den&format=xml	C:/Users/riko/Downloads/cymutec/www.cybelius.fr/index.1d3e9af.delayed	(from https://www.cybelius.fr/?p=290&lang=en)
22:13:58	2742/2742	---MC-	200	added ('OK')	application/json	date:Tue,%2014%20Sep%202021%2014:13:57%20GMT	https://www.cybelius.fr/index.php?rest_route=%2Foembed%2F1.0%2Fembed&url=https%3A%2F%2Fwww.cybelius.fr%2F%3Fp%3D106%26lang%3Den	C:/Users/riko/Downloads/cymutec/www.cybelius.fr/index4f41.json	(from https://www.cybelius.fr/?p=106&lang=en)
22:13:59	0/0	---M--	200	added ('OK')	text/html	date:Tue,%2014%20Sep%202021%2014:13:59%20GMT	https://www.cybelius.fr/index.php?rest_route=%2Foembed%2F1.0%2Fembed&url=https%3A%2F%2Fwww.cybelius.fr%2F%3Fp%3D106%26lang%3Den&format=xml	C:/Users/riko/Downloads/cymutec/www.cybelius.fr/index.1d57d98.delayed	(from https://www.cybelius.fr/?p=106&lang=en)
22:14:01	2879/2879	---MC-	200	added ('OK')	application/json	date:Tue,%2014%20Sep%202021%2014:14:00%20GMT	https://www.cybelius.fr/index.php?rest_route=%2Foembed%2F1.0%2Fembed&url=https%3A%2F%2Fwww.cybelius.fr%2F%3Fp%3D1273%26lang%3Den	C:/Users/riko/Downloads/cymutec/www.cybelius.fr/index7a21.json	(from https://www.cybelius.fr/?p=1273&lang=en)
22:14:01	64700/64700	---M-Z	200	added ('OK')	text/html	date:Tue,%2014%20Sep%202021%2014:14:00%20GMT	https://www.cybelius.fr/?p=4375%26lang=en%26page_id=3861	C:/Users/riko/Downloads/cymutec/www.cybelius.fr/index88b5.html	(from https://www.cybelius.fr/?page_id=3861&lang=en&page=2)
